"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
3.320000000E1,-6.233128508E-1,3.209109101E-2,3.728425512E-3
3.330000000E1,-6.663229022E-1,2.849582356E-2,7.323692970E-3
3.340000000E1,-6.938866194E-1,3.036003631E-2,7.057376862E-3
3.350000000E1,-7.205182302E-1,2.956108799E-2,7.989483240E-4
3.360000000E1,-7.423561510E-1,3.355582961E-2,1.105211848E-2
3.370000000E1,-7.526093212E-1,2.410160777E-2,1.278317318E-2
3.380000000E1,-7.567372209E-1,2.303634334E-2,5.858954376E-3
3.390000000E1,-7.526093212E-1,4.474110614E-2,0.000000000E0
3.400000000E1,-7.327687712E-1,2.330265945E-2,2.796319134E-3
3.410000000E1,-7.099987439E-1,5.992112430E-2,-1.331580540E-4
3.420000000E1,-6.848318717E-1,3.315635545E-2,3.728425512E-3
3.430000000E1,-6.508765680E-1,2.663161080E-2,8.255799348E-3
3.440000000E1,-6.038717749E-1,2.902845577E-2,6.125270484E-3
3.450000000E1,-5.768406899E-1,2.516687221E-2,1.358212151E-2
3.460000000E1,-5.360943254E-1,3.408846182E-2,1.211738291E-2
3.470000000E1,-4.933505901E-1,3.701793901E-2,6.524744646E-3
3.480000000E1,-4.740426722E-1,2.716424302E-2,1.424791178E-2
3.490000000E1,-4.308994627E-1,3.062635242E-2,4.926847998E-3
3.500000000E1,-4.028031134E-1,2.596582053E-2,1.438106983E-2
3.510000000E1,-3.856257244E-1,2.237055307E-2,2.050634032E-2
3.520000000E1,-3.611246424E-1,3.661846485E-2,2.516687221E-2
3.530000000E1,-3.494067337E-1,0.000000000E0,4.261057728E-3
3.540000000E1,-3.480751532E-1,3.302319739E-2,5.858954376E-3
3.550000000E1,-3.472762048E-1,2.410160777E-2,-2.663161080E-4
3.560000000E1,-3.490072595E-1,2.636529469E-2,1.957423394E-2
3.570000000E1,-3.639209616E-1,2.609897858E-2,1.451422789E-2
3.580000000E1,-3.792341378E-1,2.822950745E-2,1.411475372E-2
3.590000000E1,-3.974767912E-1,4.580637058E-2,1.398159567E-2
3.600000000E1,-4.242415600E-1,3.009372020E-2,1.051948627E-2
3.610000000E1,-4.577973897E-1,3.901530982E-2,7.989483240E-4
3.620000000E1,-4.956142770E-1,2.410160777E-2,3.195793296E-3
3.630000000E1,-5.319664257E-1,2.423476583E-2,5.858954376E-3
3.640000000E1,-5.721801580E-1,1.571265037E-2,5.193164106E-3
3.650000000E1,-5.980128205E-1,2.636529469E-2,3.595267458E-3
3.660000000E1,-6.430202428E-1,4.713795112E-2,6.924218808E-3
3.670000000E1,-6.757771240E-1,2.423476583E-2,8.255799348E-3
3.680000000E1,-7.040066315E-1,2.383529167E-2,8.788431564E-3
3.690000000E1,-7.398261480E-1,2.876213966E-2,5.326322160E-3
3.700000000E1,-7.395598319E-1,2.210423696E-2,4.261057728E-3
3.710000000E1,-7.436877316E-1,5.992112430E-3,7.190534916E-3
3.720000000E1,-7.531419534E-1,2.623213664E-2,3.062635242E-3
3.730000000E1,-7.378287772E-1,3.102582658E-2,9.720537942E-3
3.740000000E1,-7.278419232E-1,1.944107588E-2,4.793689944E-3
3.750000000E1,-6.990797835E-1,2.796319134E-2,2.396844972E-3
3.760000000E1,-6.587328931E-1,3.102582658E-2,1.051948627E-2
3.770000000E1,-6.315686501E-1,2.689792691E-2,6.258428538E-3
